資料表名稱,欄位名稱,資料型別,允許空白 (Null),預設值
calendar_events,id,text,NO,null
calendar_events,date,date,YES,null
calendar_events,title,text,YES,null
calendar_events,content,text,YES,null
calendar_events,type,text,YES,null
calendar_events,created_at,date,YES,null
customers,id,text,NO,null
customers,name,text,NO,null
customers,contact,text,YES,null
customers,phone,text,YES,null
customers,mobile,text,YES,null
customers,address,text,YES,null
customers,email,text,YES,null
customers,tax_id,text,YES,null
customers,invoice_title,text,YES,null
customers,payment_term,text,YES,'現金'::text
customers,credit_limit,numeric,YES,0
customers,tax_type,text,YES,'免稅'::text
customers,status,text,YES,'啟用'::text
customers,created_at,text,YES,null
customers,note,text,YES,null
customers,price_group,text,YES,'一般'::text
employee_meals,id,text,NO,null
employee_meals,date,text,YES,null
employee_meals,headcount,numeric,YES,0
employee_meals,amount,numeric,YES,0
employee_meals,payment_method,text,YES,null
employee_meals,note,text,YES,null
expenses,id,text,NO,null
expenses,date,text,YES,null
expenses,category,text,YES,null
expenses,item,text,YES,null
expenses,amount,numeric,YES,0
expenses,payment_method,text,YES,null
expenses,recipient,text,YES,null
expenses,invoice_no,text,YES,null
expenses,status,text,YES,'已支出'::text
expenses,note,text,YES,null
expenses,handler,text,YES,null
inventory,product_id,text,NO,null
inventory,product_name,text,YES,null
inventory,current_stock,numeric,YES,0
inventory,spec,text,YES,null
inventory,unit,text,YES,null
inventory,price,numeric,YES,0
inventory,cost,numeric,YES,0
inventory,safety_stock,numeric,YES,5
inventory,updated_at,text,YES,null
inventory_log,id,integer,NO,nextval('inventory_log_id_seq'::regclass)
inventory_log,created_at,text,YES,null
inventory_log,product_id,text,YES,null
inventory_log,product_name,text,YES,null
inventory_log,type,text,YES,null
inventory_log,qty_change,numeric,YES,0
inventory_log,unit,text,YES,null
inventory_log,doc_no,text,YES,null
inventory_log,balance,numeric,YES,0
inventory_log,note,text,YES,null
invoices,id,text,NO,null
invoices,date,date,YES,null
invoices,customer_id,text,YES,null
invoices,customer_name,text,YES,null
invoices,order_id,text,YES,null
invoices,amount,numeric,YES,0
invoices,invoice_no,text,YES,null
invoices,status,text,YES,'未開立'::text
invoices,note,text,YES,null
invoices,created_at,date,YES,null
materials,id,text,NO,null
materials,name,text,NO,null
materials,spec,text,YES,null
materials,category,text,YES,null
materials,unit,text,YES,'個'::text
materials,cost,numeric,YES,0
materials,supplier,text,YES,null
materials,min_stock,numeric,YES,0
materials,current_stock,numeric,YES,0
materials,status,text,YES,'啟用'::text
materials,created_at,text,YES,null
materials,note,text,YES,null
payables,id,text,NO,null
payables,supplier_id,text,YES,null
payables,supplier_name,text,YES,null
payables,order_id,text,YES,null
