id,date,category,item,amount,payment_method,recipient,invoice_no,status,note,handler
EXP00001,2026/2/11,進貨成本,大成雞肉,21975,零用金,大成,,已支出,,
EXP00002,2026/2/8,進貨成本,芋頭丁,2465,零用金,大甲芋頭,,已支出,,
EXP00003,2026/2/2,進貨成本,花枝漿,6578,零用金,,,已支出,,
EXP00004,2026/1/27,進貨成本,肝臘腸禮盒100個,1885,零用金,富田喬包裝,,已支出,,
EXP00005,2026/1/23,進貨成本,1499盒,5591,零用金,裕發興,,已支出,,
EXP00006,2026/1/22,進貨成本,芋頭丁,2465,零用金,上品合作社,,已支出,,
EXP00007,2026/1/22,進貨成本,鹹蛋黃,9915,零用金,鹹蛋黃,,已支出,,
EXP00008,2026/1/14,進貨成本,花枝漿,6578,零用金,,,已支出,,
EXP00009,2026/1/14,股東往來,江總,20015,零用金,江總,,已支出,,
EXP00010,2026/1/12,進貨成本,蘿蔔糕鋁盒,3215,零用金,富田喬,,已支出,,
EXP00011,2026/1/27,水電瓦斯,央廚電話費,123,零用金,中華電信,,已支出,,
EXP00012,2026/1/13,水電瓦斯,龍潭電話網路費,972,零用金,中華電信,,已支出,,
EXP00013,2026/2/5,股東往來,江總,20015,零用金,江總,,已支出,,
EXP00014,2026/2/13,進貨成本,真空袋11*22-2000入,1700,零用金,,,已支出,,
EXP00015,2026/2/11,進貨成本,真空袋20*30-600入,1307,零用金,蝦皮,,已支出,,
EXP00016,2026/2/11,進貨成本,招財貓夾縺袋,1110,零用金,蝦皮,,已支出,,
EXP00017,2026/2/26,進貨成本,透明膠帶3箱,4084,零用金,蝦皮,,已支出,,
EXP00018,2026/1/7,雜支,龍潭感熱紙2箱,740,零用金,蝦皮,,已支出,,
EXP00019,2026/1/2,雜支,龍潭印表機墨水,590,零用金,蝦皮,,已支出,,
EXP00020,2026/1/7,進貨成本,肝腸25斤臘腸55斤,24780,零用金,皇上皇,,已支出,,
EXP00021,2026/1/10,薪資,12月薪,20000,零用金,,,已支出,,
EXP00022,2026/2/10,薪資,1月薪,20000,零用金,,,已支出,,
