id,name,spec,category,unit,cost,supplier,min_stock,current_stock,status,created_at,note
M00001,赤肉丁,台斤,萬國肉品有限公司,台斤,145,萬國肉品有限公司,0,70,啟用,2026-02-14,
M00002,油粒,台斤,萬國肉品有限公司,台斤,65,萬國肉品有限公司,0,50,啟用,2026-02-14,
M00003,五花肉絲(去皮),台斤,萬國肉品有限公司,台斤,190,萬國肉品有限公司,0,20,啟用,2026-02-14,
M00004,里肌排,台斤,萬國肉品有限公司,台斤,155,萬國肉品有限公司,0,40,啟用,2026-02-14,
M00005,大白皮,台斤,御新國際有限公司,台斤,63,御新國際有限公司,0,125,啟用,2026-02-14,
M00006,烏豆沙,台斤,御新國際有限公司,台斤,75,御新國際有限公司,0,40,啟用,2026-02-14,
M00007,米製品(糯米),台斤,御新國際有限公司,台斤,50,御新國際有限公司,0,50,啟用,2026-02-14,
M00008,四方黃皮,台斤,御新國際有限公司,台斤,80,御新國際有限公司,0,30,啟用,2026-02-14,
M00009,澄麵,台斤,御新國際有限公司,台斤,45,御新國際有限公司,0,20,啟用,2026-02-14,
M00010,特級小黃皮,台斤,御新國際有限公司,台斤,68,御新國際有限公司,0,20,啟用,2026-02-14,
M00011,水晶粉,台斤,御新國際有限公司,台斤,45,御新國際有限公司,0,5,啟用,2026-02-14,
M00012,腐皮(非基改),張,御新國際有限公司,張,15,御新國際有限公司,0,100,啟用,2026-02-14,
M00013,鳳爪(不含冰),箱,御新國際有限公司,箱,2800,御新國際有限公司,0,3,啟用,2026-02-14,
M00014,特級大翡翠皮,台斤,御新國際有限公司,台斤,68,御新國際有限公司,0,10,啟用,2026-02-14,
M00015,米製品(粘米),台斤,御新國際有限公司,台斤,45,御新國際有限公司,0,40,啟用,2026-02-14,
M00016,小紅蘿蔔皮,台斤,御新國際有限公司,台斤,63,御新國際有限公司,0,6,啟用,2026-02-14,
M00017,四方春皮,台斤,御新國際有限公司,台斤,80,御新國際有限公司,0,80,啟用,2026-02-14,
M00018,馬蹄粉,台斤,御新國際有限公司,台斤,110,御新國際有限公司,0,5,啟用,2026-02-14,
M00019,特級大黃皮,台斤,御新國際有限公司,台斤,68,御新國際有限公司,0,5,啟用,2026-02-14,
M00020,細鹽1kg裝,,十美食品有限公司,包,16,十美食品有限公司,0,8,啟用,2026-02-14,
M00021,蘇打粉450g[食添],,十美食品有限公司,包,30,十美食品有限公司,0,5,啟用,2026-02-14,
M00022,麵粉低筋22kg藍駱駝,,十美食品有限公司,袋,560,十美食品有限公司,0,3,啟用,2026-02-14,
M00023,照燒醬2.4kg.小磨坊,,十美食品有限公司,瓶,315,十美食品有限公司,0,1,啟用,2026-02-14,
M00024,香蒜粒1kg.小磨坊,,十美食品有限公司,包,390,十美食品有限公司,0,1,啟用,2026-02-14,
M00025,梅子粉.白色.海山牌,,十美食品有限公司,包,125,十美食品有限公司,0,1,啟用,2026-02-14,
M00026,起司粉8oz.美桑納,,十美食品有限公司,罐,165,十美食品有限公司,0,2,啟用,2026-02-14,
M00027,起司絲1kg,,十美食品有限公司,包,245,十美食品有限公司,0,4,啟用,2026-02-14,
M00028,奶油1p.無鹽.安佳牌,,十美食品有限公司,磅,230,十美食品有限公司,0,40,啟用,2026-02-14,
M00029,糯米30kg.長.松牌,,十美食品有限公司,袋,1750,十美食品有限公司,0,3,啟用,2026-02-14,
M00030,太白粉25kg.風車,,十美食品有限公司,袋,1520,十美食品有限公司,0,1,啟用,2026-02-14,
M00031,白胡椒粉.香辣#3.飛馬,,十美食品有限公司,盒,105,十美食品有限公司,0,6,啟用,2026-02-14,
M00032,法國發粉500g.燕子牌,,十美食品有限公司,包,145,十美食品有限公司,0,1,啟用,2026-02-14,
M00033,發粉6p裝.無鋁.月光牌,,十美食品有限公司,罐,805,十美食品有限公司,0,1,啟用,2026-02-14,
M00034,醬油.陳年1500cc.金蘭,,十美食品有限公司,罐,135,十美食品有限公司,0,4,啟用,2026-02-14,
M00035,泰國魚露700cc.公雞牌,,十美食品有限公司,瓶,75,十美食品有限公司,0,1,啟用,2026-02-14,
