id,date,type,amount,summary,handler,note,balance
PC00001,2026-02-11,出金,21975,大成雞肉 (進貨成本),www161616@gmail.com,關聯支出單: EXP00001,-21975
PC00002,2026-02-08,出金,2465,芋頭丁 (進貨成本),www161616@gmail.com,關聯支出單: EXP00002,-24440
PC00003,2026-02-02,出金,6578,花枝漿 (進貨成本),www161616@gmail.com,關聯支出單: EXP00003,-31018
PC00004,2026-01-27,出金,1885,肝臘腸禮盒100個 (進貨成本),www161616@gmail.com,關聯支出單: EXP00004,-32903
PC00005,2026-01-23,出金,5591,1499盒 (進貨成本),www161616@gmail.com,關聯支出單: EXP00005,-38494
PC00006,2026-01-22,出金,2465,芋頭丁 (進貨成本),www161616@gmail.com,關聯支出單: EXP00006,-40959
PC00007,2026-01-22,出金,9915,鹹蛋黃 (進貨成本),www161616@gmail.com,關聯支出單: EXP00007,-50874
PC00008,2026-01-14,出金,6578,花枝漿 (進貨成本),www161616@gmail.com,關聯支出單: EXP00008,-57452
PC00009,2026-01-14,出金,20015,江總 (股東往來),www161616@gmail.com,關聯支出單: EXP00009,-77467
PC00010,2026-01-12,出金,3215,蘿蔔糕鋁盒 (進貨成本),www161616@gmail.com,關聯支出單: EXP00010,-80682
PC00011,2026-01-27,出金,123,央廚電話費 (水電瓦斯),www161616@gmail.com,關聯支出單: EXP00011,-80805
PC00012,2026-01-13,出金,972,龍潭電話網路費 (水電瓦斯),www161616@gmail.com,關聯支出單: EXP00012,-81777
PC00013,2026-02-05,出金,20015,江總 (股東往來),www161616@gmail.com,關聯支出單: EXP00013,-101792
PC00014,2026-02-13,出金,1700,真空袋11*22-2000入 (進貨成本),www161616@gmail.com,關聯支出單: EXP00014,-103492
PC00015,2026-02-11,出金,1307,真空袋20*30-600入 (進貨成本),www161616@gmail.com,關聯支出單: EXP00015,-104799
PC00016,2026-02-11,出金,1110,招財貓夾縺袋 (進貨成本),www161616@gmail.com,關聯支出單: EXP00016,-105909
PC00017,2026-02-09,出金,4084,透明膠帶3箱 (進貨成本),www161616@gmail.com,關聯支出單: EXP00017,-109993
PC00018,2026-01-07,出金,740,龍潭感熱紙2箱 (雜支),www161616@gmail.com,關聯支出單: EXP00018,-110733
PC00019,2026-01-02,出金,590,龍潭印表機墨水 (雜支),www161616@gmail.com,關聯支出單: EXP00019,-111323
PC00020,2026-01-07,出金,24780,肝腸25斤臘腸55斤 (進貨成本),www161616@gmail.com,關聯支出單: EXP00020,-136103
PC00021,2026-01-10,出金,20000,12月薪 (薪資),www161616@gmail.com,關聯支出單: EXP00021,-156103
PC00023,2026-01-20,入金,69491,老闆現付,www161616@gmail.com,25萬扣12月應付剩的,-106612
