id,order_id,supplier_id,product_id,product_name,qty,unit,cost,subtotal,created_at,note
P00001-1,P00001,S00009,Z100109,冷凍熟麵(5片/袋)*,60,個,82.54,4952,2026/2/14,
P00002-1,P00002,S00003,M00020,細鹽1kg裝,5,包,16,80,2026/2/14,
P00002-10,P00002,S00003,M00029,糯米30kg.長.松牌,1,袋,1750,1750,2026/2/14,
P00002-2,P00002,S00003,M00021,蘇打粉450g[食添],5,包,30,150,2026/2/14,
P00002-3,P00002,S00003,M00022,麵粉低筋22kg藍駱駝,1,袋,560,560,2026/2/14,
P00002-4,P00002,S00003,M00023,照燒醬2.4kg.小磨坊,1,瓶,315,315,2026/2/14,
P00002-5,P00002,S00003,M00024,香蒜粒1kg.小磨坊,1,包,390,390,2026/2/14,
P00002-6,P00002,S00003,M00025,梅子粉.白色.海山牌,1,包,125,125,2026/2/14,
P00002-7,P00002,S00003,M00026,起司粉8oz.美桑納,2,罐,165,330,2026/2/14,
P00002-8,P00002,S00003,M00027,起司絲1kg,2,包,245,490,2026/2/14,
P00002-9,P00002,S00003,M00028,奶油1p.無鹽.安佳牌,20,磅,230,4600,2026/2/14,
P00003-1,P00003,S00003,M00030,太白粉25kg.風車,1,袋,1520,1520,2026/2/14,
P00003-2,P00003,S00003,M00031,白胡椒粉.香辣#3.飛馬,2,盒,105,210,2026/2/14,
P00003-3,P00003,S00003,M00032,法國發粉500g.燕子牌,1,包,145,145,2026/2/14,
P00003-4,P00003,S00003,M00033,發粉6p裝.無鋁.月光牌,1,罐,805,805,2026/2/14,
P00003-5,P00003,S00003,M00034,醬油.陳年1500cc.金蘭,4,罐,135,540,2026/2/14,
P00003-6,P00003,S00003,M00035,泰國魚露700cc.公雞牌,1,瓶,75,75,2026/2/14,
P00003-7,P00003,S00003,M00036,細砂1.8kg,15,包,70,1050,2026/2/14,
P00003-8,P00003,S00003,M00038,沙拉油18l.大成牌,1,桶,920,920,2026/2/14,
