id,date,supplier_id,supplier_name,total_amount,tax_amount,grand_total,handler,payment_status,due_date,created_at,note
P00001,2026-01-26,S00009,皇家可口股份有限公司,4952.4,248,5200.4,,未付款,,2026-02-14,
P00002,2026-01-06,S00003,十美食品有限公司,8790.0,0,8790.0,,未付款,,2026-02-14,
P00003,2026-01-06,S00003,十美食品有限公司,5425.0,0,5425.0,,未付款,,2026-02-14,
P00004,2026-01-07,S00003,十美食品有限公司,560.0,0,560.0,,未付款,,2026-02-14,
P00005,2026-01-14,S00003,十美食品有限公司,4333.0,0,4333.0,,未付款,,2026-02-14,
P00006,2026-01-20,S00003,十美食品有限公司,6003.0,0,6003.0,,未付款,,2026-02-14,
P00007,2026-01-20,S00003,十美食品有限公司,2085.0,0,2085.0,,未付款,,2026-02-14,
P00008,2026-01-23,S00003,十美食品有限公司,9990.0,0,9990.0,,未付款,,2026-02-14,
P00009,2026-01-23,S00003,十美食品有限公司,1180.0,0,1180.0,,未付款,,2026-02-14,
P00010,2026-01-30,S00003,十美食品有限公司,8145.0,0,8145.0,,未付款,,2026-02-14,
P00011,2026-01-30,S00003,十美食品有限公司,1075.0,0,1075.0,,未付款,,2026-02-14,
P00012,2026-01-27,S00008,御新國際有限公司,3760.0,0,3760.0,,未付款,,2026-02-14,
P00013,2026-01-24,S00008,御新國際有限公司,4440.0,0,4440.0,,未付款,,2026-02-14,
P00014,2026-01-21,S00008,御新國際有限公司,3830.0,0,3830.0,,未付款,,2026-02-14,
P00015,2026-01-19,S00008,御新國際有限公司,11615.0,0,11615.0,,未付款,,2026-02-14,
P00016,2026-01-12,S00008,御新國際有限公司,5648.0,282,5930.0,,未付款,,2026-02-14,
P00017,2026-01-07,S00008,御新國際有限公司,3020.0,0,3020.0,,未付款,,2026-02-14,
P00018,2026-01-05,S00008,御新國際有限公司,6335.0,0,6335.0,,未付款,,2026-02-14," [波動: 特級大黃皮🔺8%]"
P00019,2026-01-13,S00005,萬國肉品有限公司,12750.0,0,12750.0,,未付款,,2026-02-14,
P00020,2026-01-23,S00005,萬國肉品有限公司,10650.0,0,10650.0,,未付款,,2026-02-14,
P00021,2026-01-31,S00007,巧巧龍商行,17723.0,0,17723.0,,未付款,,2026-02-14,
