id,customer_id,customer_name,order_id,order_date,total_amount,paid_amount,unpaid_amount,due_date,write_off,status,note
AR00001,C00002,中山東店,SO00001,2026/1/21,1240,0,1240,2026/1/21,0,未收款,
AR00002,C00002,中山東店,SO00002,2026/1/27,1360,0,1360,2026/1/27,0,未收款,
AR00005,C00003,中山店,SO00003,2026/1/6,3593,0,3593,2026/1/6,0,未收款,
AR00006,C00003,中山店,SO00004,2026/1/20,3459,0,3459,2026/1/20,0,未收款,
AR00007,C00009,福來許/ 咖啡館,SO00005,2026/1/6,10065.4,0,10065.4,2026/1/6,0,未收款,
AR00008,C00009,福來許/ 咖啡館,SO00006,2026/1/8,7261,0,7261,2026/1/8,0,未收款,
AR00009,C00009,福來許/ 咖啡館,SO00007,2026/1/20,12357,0,12357,2026/1/20,0,未收款,
AR00010,C00009,福來許/ 咖啡館,SO00008,2026/1/27,10911.4,0,10911.4,2026/1/27,0,未收款,
AR00011,C00010,福來許/ 崆書屋,SO00009,2026/1/27,8209,0,8209,2026/1/27,0,未收款,
AR00012,C00005,蘇記-港式脆皮臭豆腐、點心,SO00010,2026/1/2,3795,0,3795,2026/1/2,0,未收款,
AR00013,C00005,蘇記-港式脆皮臭豆腐、點心,SO00011,2026/1/9,2414,0,2414,2026/1/9,0,未收款,
AR00014,C00005,蘇記-港式脆皮臭豆腐、點心,SO00012,2026/1/13,5440,0,5440,2026/1/13,0,未收款,
AR00015,C00005,蘇記-港式脆皮臭豆腐、點心,SO00013,2026/1/16,6472,0,6472,2026/1/16,0,未收款,
AR00016,C00005,蘇記-港式脆皮臭豆腐、點心,SO00014,2026/1/23,985,0,985,2026/1/23,0,未收款,
AR00017,C00005,蘇記-港式脆皮臭豆腐、點心,SO00015,2026/1/28,3795,0,3795,2026/1/28,0,未收款,
AR00018,C00006,彭記-啊本,SO00016,2026/1/2,3950,0,3950,2026/1/2,0,未收款,
AR00019,C00006,彭記-啊本,SO00017,2026/1/9,8620,0,8620,2026/1/9,0,未收款,
AR00020,C00006,彭記-啊本,SO00018,2026/1/16,6230,0,6230,2026/1/16,0,未收款,
AR00021,C00006,彭記-啊本,SO00019,2026/1/23,3820,0,3820,2026/1/23,0,未收款,
AR00022,C00006,彭記-啊本,SO00020,2026/1/29,9825,0,9825,2026/1/29,0,未收款,
AR00023,C00011,尚首-新莊營業所,SO00021,2026/1/19,1449,0,1449,2026/1/19,0,未收款,
AR00024,C00011,尚首-新莊營業所,SO00022,2026/1/27,3749,0,3749,2026/1/27,0,未收款,
AR00025,C00012,尚首-三重營業所,SO00023,2026/1/4,2079,0,2079,2026/1/4,0,未收款,
AR00026,C00012,尚首-三重營業所,SO00024,2026/1/12,2457,0,2457,2026/1/12,0,未收款,
AR00027,C00012,尚首-三重營業所,SO00025,2026/1/27,3749,0,3749,2026/1/27,0,未收款,
AR00028,C00013,尚首-中和營業所,SO00026,2026/1/4,2079,0,2079,2026/1/4,0,未收款,
AR00029,C00013,尚首-中和營業所,SO00027,2026/1/19,2079,0,2079,2026/1/19,0,未收款,
AR00030,C00013,尚首-中和營業所,SO00028,2026/1/27,5072,0,5072,2026/1/27,0,未收款,
AR00031,C00014,尚首-樹林營業所,SO00029,2026/1/4,1323,0,1323,2026/1/4,0,未收款,
AR00032,C00014,尚首-樹林營業所,SO00030,2026/1/19,1733,0,1733,2026/1/19,0,未收款,
AR00033,C00014,尚首-樹林營業所,SO00031,2026/1/27,3119,0,3119,2026/1/27,0,未收款,
AR00034,C00017,苗栗-狸好咚心,SO00032,2026/1/2,11771,0,11771,2026/1/2,0,未收款,
AR00035,C00017,苗栗-狸好咚心,SO00033,2026/1/14,14511,0,14511,2026/1/14,0,未收款,
