id,order_id,product_id,product_name,qty,unit,price,subtotal,cost,profit,note
SO00001-1,SO00001,H100103,鮮蝦燒賣15顆/包,1,包,210.0,210.0,0,210.0,
SO00001-2,SO00001,H101403,糯米珍珠丸15顆/包,1,包,210.0,210.0,0,210.0,
SO00001-3,SO00001,H103302,手工生煎包50入/包,1,包,125.0,125.0,0,125.0,
SO00001-4,SO00001,H100503,水晶蝦餃15顆/包,1,包,270.0,270.0,0,270.0,
SO00001-5,SO00001,H101003,港式叉燒包10顆/包,1,包,165.0,165.0,0,165.0,
SO00001-6,SO00001,H101503,荷葉粽10顆/包,1,包,260.0,260.0,0,260.0,
SO00002-1,SO00002,H101503,荷葉粽10顆/包,2,包,260.0,520.0,0,520.0,
SO00002-2,SO00002,H102404,花枝煎餅30入/袋,1,袋,510.0,510.0,0,510.0,
SO00002-3,SO00002,H100903,爆漿流沙包10顆/包,1,包,165.0,165.0,0,165.0,
SO00002-4,SO00002,H101003,港式叉燒包10顆/包,1,包,165.0,165.0,0,165.0,
SO00003-1,SO00003,B101003,鮮肉包6入/包,2,包,84.0,168.0,84,0.0,
SO00003-10,SO00003,H100603,韭菜蝦餃15顆/包,1,包,270.0,270.0,0,270.0,
SO00003-11,SO00003,Z100106,米糕1kg/包,1,包,155.0,155.0,0,155.0,
SO00003-12,SO00003,H101003,港式叉燒包10顆/包,1,包,165.0,165.0,0,165.0,
SO00003-13,SO00003,H100903,爆漿流沙包10顆/包,1,包,165.0,165.0,0,165.0,
SO00003-14,SO00003,H100203,椒麻燒賣15顆/包,1,包,210.0,210.0,0,210.0,
SO00003-15,SO00003,B101403,梅干菜肉包6入/包,1,包,84.0,84.0,84,0.0,
SO00003-2,SO00003,B100703,竹筍素肉包6入/包,1,包,84.0,84.0,84,0.0,
SO00003-3,SO00003,B100903,雪裡紅素包6入/包,1,包,84.0,84.0,84,0.0,
SO00003-4,SO00003,B101703,德國香腸起司捲6入/包,1,包,108.0,108.0,108,0.0,
SO00003-5,SO00003,H100103,鮮蝦燒賣15顆/包,3,包,210.0,630.0,0,630.0,
SO00003-6,SO00003,H100503,水晶蝦餃15顆/包,2,包,270.0,540.0,0,540.0,
SO00003-7,SO00003,H101403,糯米珍珠丸15顆/包,2,包,210.0,420.0,0,420.0,
SO00003-8,SO00003,H100803,魚翅餃15顆/包,1,包,240.0,240.0,0,240.0,
SO00003-9,SO00003,H100703,鳳眼餃15顆/包,1,包,270.0,270.0,0,270.0,
SO00004-1,SO00004,H100903,爆漿流沙包10顆/包,3,包,165.0,495.0,0,495.0,
SO00004-10,SO00004,B102003,牛奶起司捲6入/包,1,包,102.0,102.0,85,17.0,
SO00004-11,SO00004,B100703,竹筍素肉包6入/包,1,包,85.0,85.0,84,1.0,
SO00004-12,SO00004,B101403,梅干菜肉包6入/包,1,包,85.0,85.0,84,1.0,
SO00004-13,SO00004,B100903,雪裡紅素包6入/包,1,包,85.0,85.0,84,1.0,
SO00004-14,SO00004,H102401,花枝煎餅單(個),20,個,17.0,340.0,0,340.0,
SO00004-15,SO00004,H102501,韭菜煎餅單(個),20,個,17.0,340.0,0,340.0,
SO00004-2,SO00004,H100103,鮮蝦燒賣15顆/包,1,包,210.0,210.0,0,210.0,
SO00004-3,SO00004,Z100106,米糕1kg/包,1,包,155.0,155.0,0,155.0,
SO00004-4,SO00004,Z100112,櫻花蝦蝦仁(50克)*,1,個,100.0,100.0,0,100.0,
SO00004-5,SO00004,H101503,荷葉粽10顆/包,1,包,260.0,260.0,0,260.0,
SO00004-6,SO00004,Z100104,豉汁排骨120g/包,15,包,34.5,517.5,0,517.5,
SO00004-7,SO00004,Z100105,蠔皇鳳爪120g/包,15,包,34.5,517.5,0,517.5,
SO00004-8,SO00004,B100602,綜合小起司9入/包,1,包,65.0,65.0,60,5.0,
SO00004-9,SO00004,B101903,紅糖起司捲6入/包,1,包,102.0,102.0,85,17.0,
SO00005-1,SO00005,Z100108,__叉燒肉(克)*,4324,個,0.6,2594.4,0,2594.4,
SO00005-10,SO00005,H102101,香蔥鮮魚捲單(個),20,條,13.0,260.0,0,260.0,
SO00005-11,SO00005,Z100106,米糕1kg/包,2,包,160.0,320.0,0,320.0,
SO00005-12,SO00005,H100901,爆漿流沙包(個),30,顆,16.5,495.0,0,495.0,
SO00005-2,SO00005,H104101,百花油條單(個),59,個,21.0,1239.0,0,1239.0,
SO00005-3,SO00005,Z100103,雙倍濃郁胡椒豬肚雞,2,個,143.0,286.0,0,286.0,
SO00005-4,SO00005,Z100109,冷凍熟麵(5片/袋)*,6,個,82.0,492.0,0,492.0,
SO00005-5,SO00005,H101301,黑糖馬來糕(個),20,顆,12.0,240.0,0,240.0,
SO00005-6,SO00005,H103401,鮮蝦腸粉單(個),80,個,13.0,1040.0,0,1040.0,
SO00005-7,SO00005,Z100102,隱藏版牛肉丼260g,40,個,48.0,1920.0,0,1920.0,
SO00005-8,SO00005,H102001,鮮蝦腐皮捲單(個),20,條,19.0,380.0,0,380.0,
SO00005-9,SO00005,H102401,花枝煎餅單(個),20,個,16.0,320.0,0,320.0,
SO00006-1,SO00006,H100101,鮮蝦燒賣(個),40,顆,14.0,560.0,0,560.0,
SO00006-10,SO00006,Z100102,隱藏版牛肉丼260g,10,個,48.0,480.0,0,480.0,
SO00006-11,SO00006,Z100111,魚香醬2斤/包*,2,個,370.0,740.0,0,740.0,
SO00006-12,SO00006,Z100109,冷凍熟麵(5片/袋)*,6,個,82.0,492.0,0,492.0,
SO00006-13,SO00006,Z100106,米糕1kg/包,4,包,160.0,640.0,0,640.0,
SO00006-14,SO00006,Z100103,雙倍濃郁胡椒豬肚雞,6,個,143.0,858.0,0,858.0,
SO00006-2,SO00006,H100201,椒麻燒賣(個),40,顆,14.0,560.0,0,560.0,
