id,date,customer_id,customer_name,subtotal,shipping,deduction,tax_amount,grand_total,tax_type,payment_status,created_at,note
SO00001,2026-01-21,C00002,中山東店,1240.0,0,0,0,1240.0,免稅,未收款,2026-02-14,
SO00002,2026-01-27,C00002,中山東店,1360.0,0,0,0,1360.0,免稅,未收款,2026-02-14,
SO00003,2026-01-06,C00003,中山店,3593.0,0,0,0,3593.0,免稅,未收款,2026-02-14,
SO00004,2026-01-20,C00003,中山店,3459.0,0,0,0,3459.0,免稅,未收款,2026-02-14,
SO00005,2026-01-06,C00009,福來許/ 咖啡館,9586.4,0,0,479,10065.4,稅外加,未收款,2026-02-14,
SO00006,2026-01-08,C00009,福來許/ 咖啡館,6915.0,0,0,346,7261.0,稅外加,未收款,2026-02-14,
SO00007,2026-01-20,C00009,福來許/ 咖啡館,11769.0,0,0,588,12357.0,稅外加,未收款,2026-02-14,
SO00008,2026-01-27,C00009,福來許/ 咖啡館,10391.4,0,0,520,10911.4,稅外加,未收款,2026-02-14,
SO00009,2026-01-27,C00010,福來許/ 崆書屋,7818.0,0,0,391,8209.0,稅外加,未收款,2026-02-14,
SO00010,2026-01-02,C00005,蘇記-港式脆皮臭豆腐、點心,3795.0,0,0,0,3795.0,免稅,未收款,2026-02-14,
SO00011,2026-01-09,C00005,蘇記-港式脆皮臭豆腐、點心,2414.0,0,0,0,2414.0,免稅,未收款,2026-02-14,
SO00012,2026-01-13,C00005,蘇記-港式脆皮臭豆腐、點心,5440.0,0,0,0,5440.0,免稅,未收款,2026-02-14,
SO00013,2026-01-16,C00005,蘇記-港式脆皮臭豆腐、點心,6472.0,0,0,0,6472.0,免稅,未收款,2026-02-14,
SO00014,2026-01-23,C00005,蘇記-港式脆皮臭豆腐、點心,985.0,0,0,0,985.0,免稅,未收款,2026-02-14,
SO00015,2026-01-28,C00005,蘇記-港式脆皮臭豆腐、點心,3795.0,0,0,0,3795.0,免稅,未收款,2026-02-14,
SO00016,2026-01-02,C00006,彭記-啊本,3950.0,0,0,0,3950.0,免稅,未收款,2026-02-14,
SO00017,2026-01-09,C00006,彭記-啊本,8620.0,0,0,0,8620.0,免稅,未收款,2026-02-14,
SO00018,2026-01-16,C00006,彭記-啊本,6230.0,0,0,0,6230.0,免稅,未收款,2026-02-14,
SO00019,2026-01-23,C00006,彭記-啊本,3820.0,0,0,0,3820.0,免稅,未收款,2026-02-14,
SO00020,2026-01-29,C00006,彭記-啊本,9825.0,0,0,0,9825.0,免稅,未收款,2026-02-14,
SO00021,2026-01-19,C00011,尚首-新莊營業所,1380.0,0,0,69,1449.0,稅外加,未收款,2026-02-14,
SO00022,2026-01-27,C00011,尚首-新莊營業所,3570.0,0,0,179,3749.0,稅外加,未收款,2026-02-14,
SO00023,2026-01-04,C00012,尚首-三重營業所,1980.0,0,0,99,2079.0,稅外加,未收款,2026-02-14,
SO00024,2026-01-12,C00012,尚首-三重營業所,2340.0,0,0,117,2457.0,稅外加,未收款,2026-02-14,
SO00025,2026-01-27,C00012,尚首-三重營業所,3570.0,0,0,179,3749.0,稅外加,未收款,2026-02-14,
SO00026,2026-01-04,C00013,尚首-中和營業所,1980.0,0,0,99,2079.0,稅外加,未收款,2026-02-14,
SO00027,2026-01-19,C00013,尚首-中和營業所,1980.0,0,0,99,2079.0,稅外加,未收款,2026-02-14,
SO00028,2026-01-27,C00013,尚首-中和營業所,4830.0,0,0,242,5072.0,稅外加,未收款,2026-02-14,
SO00029,2026-01-04,C00014,尚首-樹林營業所,1260.0,0,0,63,1323.0,稅外加,未收款,2026-02-14,
SO00030,2026-01-19,C00014,尚首-樹林營業所,1650.0,0,0,83,1733.0,稅外加,未收款,2026-02-14,
SO00031,2026-01-27,C00014,尚首-樹林營業所,2970.0,0,0,149,3119.0,稅外加,未收款,2026-02-14,
SO00032,2026-01-02,C00017,苗栗-狸好咚心,11210.0,0,0,561,11771.0,稅外加,未收款,2026-02-14,
SO00033,2026-01-14,C00017,苗栗-狸好咚心,13820.0,0,0,691,14511.0,稅外加,未收款,2026-02-14,
SO00034,2026-01-21,C00017,苗栗-狸好咚心,8205.0,0,0,410,8615.0,稅外加,未收款,2026-02-14,
SO00035,2026-01-12,C00018,點22-三峽,4680.0,0,0,234,4914.0,稅外加,未收款,2026-02-14,
SO00036,2026-01-20,C00018,點22-三峽,7380.0,0,0,369,7749.0,稅外加,未收款,2026-02-14,
SO00037,2026-01-26,C00018,點22-三峽,5370.0,0,0,269,5639.0,稅外加,未收款,2026-02-14,
SO00038,2026-01-23,C00015,尚首-淡水營業所,8850.0,0,0,443,9293.0,稅外加,未收款,2026-02-14,
SO00039,2026-01-23,C00016,尚首-富國營業所,8850.0,0,0,443,9293.0,稅外加,未收款,2026-02-14,
SO00040,2026-01-16,C00019,蝦皮賣場,1060.0,220,106,0,1174.0,免稅,未收款,2026-02-14,
SO00041,2026-01-19,C00019,蝦皮賣場,1513.0,0,14,0,1499.0,免稅,未收款,2026-02-14,
SO00042,2026-01-19,C00007,現場客人,522.0,0,0,0,522.0,免稅,未收款,2026-02-14,
SO00043,2026-01-27,C00020,陳中慧(台中有機店),12314.0,0,8,0,12306.0,免稅,未收款,2026-02-14,
SO00044,2026-02-14,C00005,蘇記-港式脆皮臭豆腐、點心,10686.0,0,0,0,10686.0,免稅,未收款,2026-02-14,
SO00045,2026-02-14,C00018,點22-三峽,49690.0,0,0,2485,52175.0,稅外加,已收款,2026-02-14,
SO00046,2026-02-04,C00042,江總,11520.0,0,0,0,11520.0,免稅,未收款,2026-02-15,
SO00047,2026-02-04,C00001,龍潭總倉,10797.0,0,0,0,10797.0,免稅,未收款,2026-02-15,
SO00048,2026-02-18,C00017,苗栗-狸好咚心,9150.0,0,0,458,9608.0,稅外加,未收款,2026-02-18,
SO00049,2026-01-02,C00001,龍潭總倉,18100.0,0,0,0,18100.0,免稅,未收款,2026-02-25,
SO00050,2026-01-05,C00001,龍潭總倉,6630.0,0,0,0,6630.0,免稅,未收款,2026-02-25,
SO00051,2026-01-06,C00001,龍潭總倉,4190.0,0,0,0,4190.0,免稅,未收款,2026-02-25,楊梅五彩麵團購
SO00052,2026-01-06,C00001,龍潭總倉,3500.0,0,0,0,3500.0,免稅,未收款,2026-02-25,三重團購
SO00053,2026-01-06,C00001,龍潭總倉,2310.0,0,0,0,2310.0,免稅,未收款,2026-02-25,全民訂單
SO00054,2026-01-06,C00001,龍潭總倉,1050.0,0,0,0,1050.0,免稅,未收款,2026-02-25,觀音團購
SO00055,2026-01-07,C00001,龍潭總倉,3456.0,0,0,0,3456.0,免稅,未收款,2026-02-25,"樂鎂-劉姵君-台中市豐原市成功路422號 "
SO00056,2026-01-07,C00001,龍潭總倉,728.0,0,0,0,728.0,免稅,未收款,2026-02-25,貿峰
SO00057,2026-01-07,C00001,龍潭總倉,7182.0,0,0,0,7182.0,免稅,未收款,2026-02-25,
SO00058,2026-01-07,C00001,龍潭總倉,3904.0,0,0,0,3904.0,免稅,未收款,2026-02-25,樂鎂-張嘉祐
SO00059,2026-01-07,C00001,龍潭總倉,2080.0,0,0,0,2080.0,免稅,未收款,2026-02-25,樂鎂-張春桂
SO00060,2026-01-08,C00001,龍潭總倉,4510.0,0,0,0,4510.0,免稅,未收款,2026-02-25,
SO00061,2026-01-08,C00001,龍潭總倉,8120.0,0,0,0,8120.0,免稅,未收款,2026-02-25,
SO00062,2026-01-09,C00001,龍潭總倉,11252.0,0,0,0,11252.0,免稅,未收款,2026-02-25,
SO00063,2026-01-13,C00001,龍潭總倉,16576.0,0,0,0,16576.0,免稅,未收款,2026-02-25,
SO00064,2026-01-14,C00001,龍潭總倉,4725.0,0,0,0,4725.0,免稅,未收款,2026-02-25,
SO00065,2026-01-14,C00001,龍潭總倉,605.0,0,0,0,605.0,免稅,未收款,2026-02-25,
SO00066,2026-01-19,C00001,龍潭總倉,12470.0,0,0,0,12470.0,免稅,未收款,2026-02-25,
SO00067,2026-02-25,C00018,點22-三峽,4260.0,0,0,213,4473.0,稅外加,已收款,2026-02-25,
SO00068,2026-02-25,C00003,中山店,2731.9,0,0,0,2731.9,免稅,未收款,2026-02-25,
SO00069,2026-02-25,C00009,福來許/ 咖啡館,4384.4,0,0,219,4603.4,稅外加,未收款,2026-02-25,
SO00070,2026-02-25,C00005,蘇記-港式脆皮臭豆腐、點心,7687.0,0,0,0,7687.0,免稅,未收款,2026-02-25,
SO00071,2026-02-25,C00017,苗栗-狸好咚心,19152.0,0,0,958,20110.0,稅外加,已收款,2026-02-25,
