id,date,product_id,product_name,cost,unit,supplier_id,supplier_name,created_at
PR00001,個,Z100109,冷凍熟麵(5片/袋)*,82.54,,SP-P00001-1,2026/1/26,S00009
PR00002,包,M00020,細鹽1kg裝,16.0,,SP-P00002-2,2026/1/6,S00003
PR00003,包,M00021,蘇打粉450g[食添],30.0,,SP-P00002-3,2026/1/6,S00003
PR00004,袋,M00022,麵粉低筋22kg藍駱駝,560.0,,SP-P00002-4,2026/1/6,S00003
PR00005,瓶,M00023,照燒醬2.4kg.小磨坊,315.0,,SP-P00002-5,2026/1/6,S00003
PR00006,包,M00024,香蒜粒1kg.小磨坊,390.0,,SP-P00002-6,2026/1/6,S00003
PR00007,包,M00025,梅子粉.白色.海山牌,125.0,,SP-P00002-7,2026/1/6,S00003
PR00008,罐,M00026,起司粉8oz.美桑納,165.0,,SP-P00002-8,2026/1/6,S00003
PR00009,包,M00027,起司絲1kg,245.0,,SP-P00002-9,2026/1/6,S00003
PR00010,磅,M00028,奶油1p.無鹽.安佳牌,230.0,,SP-P00002-10,2026/1/6,S00003
PR00011,袋,M00029,糯米30kg.長.松牌,1750.0,,SP-P00002-11,2026/1/6,S00003
PR00012,袋,M00030,太白粉25kg.風車,1520.0,,SP-P00003-12,2026/1/6,S00003
PR00013,盒,M00031,白胡椒粉.香辣#3.飛馬,105.0,,SP-P00003-13,2026/1/6,S00003
PR00014,包,M00032,法國發粉500g.燕子牌,145.0,,SP-P00003-14,2026/1/6,S00003
PR00015,罐,M00033,發粉6p裝.無鋁.月光牌,805.0,,SP-P00003-15,2026/1/6,S00003
PR00016,罐,M00034,醬油.陳年1500cc.金蘭,135.0,,SP-P00003-16,2026/1/6,S00003
PR00017,瓶,M00035,泰國魚露700cc.公雞牌,75.0,,SP-P00003-17,2026/1/6,S00003
PR00018,包,M00036,細砂1.8kg,70.0,,SP-P00003-18,2026/1/6,S00003
PR00019,桶,M00038,沙拉油18l.大成牌,920.0,,SP-P00003-19,2026/1/6,S00003
PR00020,包,M00039,黑木耳絲600g,160.0,,SP-P00003-20,2026/1/6,S00003
PR00021,包,M00037,開洋600g裝,280.0,,SP-P00004-21,2026/1/7,S00003
PR00022,包,M00037,開洋600g裝,280.0,,SP-P00005-22,2026/1/14,S00003
PR00023,包,M00027,起司絲1kg,245.0,,SP-P00005-23,2026/1/14,S00003
PR00024,罐,M00040,綠竹筍絲3kg,215.0,,SP-P00005-24,2026/1/14,S00003
PR00025,包,M00041,白芝麻600g.生,75.0,,SP-P00005-25,2026/1/14,S00003
PR00026,瓶,M00042,白醋600g.工研,43.0,,SP-P00005-26,2026/1/14,S00003
PR00027,包,M00043,黃豆粉.生.600g,55.0,,SP-P00005-27,2026/1/14,S00003
PR00028,盒,M00044,玉米粉400g.戰船,30.0,,SP-P00005-28,2026/1/14,S00003
PR00029,桶,M00045,芝麻香油3公升.銀星,230.0,,SP-P00005-29,2026/1/14,S00003
PR00030,張,M00046,荷葉.最大張,10.0,,SP-P00006-30,2026/1/20,S00003
PR00031,包,M00047,香信600g.整朵,480.0,,SP-P00006-31,2026/1/20,S00003
PR00032,桶,M00048,白醋5公升.工研牌,220.0,,SP-P00006-32,2026/1/20,S00003
PR00033,包,M00049,銨粉450g,75.0,,SP-P00006-33,2026/1/20,S00003
PR00034,袋,M00022,麵粉低筋22kg藍駱駝,560.0,,SP-P00006-34,2026/1/20,S00003
PR00035,盒,M00050,保久鮮乳1000g.田園牌,60.0,,SP-P00006-35,2026/1/20,S00003
PR00036,桶,M00051,米酒6公升,260.0,,SP-P00006-36,2026/1/20,S00003
PR00037,罐,M00052,雞粉1kg.罐.康寶牌,280.0,,SP-P00006-37,2026/1/20,S00003
PR00038,包,M00053,味素1kg.希杰,80.0,,SP-P00006-38,2026/1/20,S00003
PR00039,包,M00020,細鹽1kg裝,16.0,,SP-P00006-39,2026/1/20,S00003
PR00040,罐,M00054,椰漿400g.快達牌,65.0,,SP-P00007-40,2026/1/20,S00003
PR00041,條,M00055,洋火腿(切)3kg,525.0,,SP-P00007-41,2026/1/20,S00003
PR00042,包,M00041,白芝麻600g.生,75.0,,SP-P00008-42,2026/1/23,S00003
PR00043,磅,M00028,奶油1p.無鹽.安佳牌,230.0,,SP-P00008-43,2026/1/23,S00003
PR00044,包,M00053,味素1kg.希杰,80.0,,SP-P00008-44,2026/1/23,S00003
PR00045,桶,M00063,芝麻醬3kg.鉅利,595.0,,SP-P00008-45,2026/1/23,S00003
PR00046,包,M00056,八角粒600g.廣漢,265.0,,SP-P00008-46,2026/1/23,S00003
PR00047,盒,M00031,白胡椒粉.香辣#3.飛馬,105.0,,SP-P00008-47,2026/1/23,S00003
PR00048,包,M00057,豆豉600G,40.0,,SP-P00008-48,2026/1/23,S00003
PR00049,包,M00036,細砂1.8kg,70.0,,SP-P00008-49,2026/1/23,S00003
PR00050,袋,M00029,糯米30kg.長.松牌,1750.0,,SP-P00008-50,2026/1/23,S00003
PR00051,盒,M00044,玉米粉400g.戰船,30.0,,SP-P00008-51,2026/1/23,S00003
PR00052,罐,M00040,綠竹筍絲3kg,215.0,,SP-P00009-52,2026/1/23,S00003
PR00053,桶,M00058,蠔油.熊貓80oz.李錦記,200.0,,SP-P00009-53,2026/1/23,S00003
PR00054,張,M00046,荷葉.最大張,10.0,,SP-P00009-54,2026/1/23,S00003
PR00055,瓶,M00059,豆瓣醬450g辣.哈哈牌,65.0,,SP-P00009-55,2026/1/23,S00003
PR00056,罐,M00060,鮮奶油.藍鑽石牌,145.0,,SP-P00010-56,2026/1/30,S00003
PR00057,包,M00047,香信600g.整朵,480.0,,SP-P00010-57,2026/1/30,S00003
PR00058,袋,M00022,麵粉低筋22kg藍駱駝,560.0,,SP-P00010-58,2026/1/30,S00003
PR00059,袋,M00029,糯米30kg.長.松牌,1750.0,,SP-P00010-59,2026/1/30,S00003
PR00060,包,M00061,櫻花蝦600g.小隻,1030.0,,SP-P00010-60,2026/1/30,S00003
PR00061,瓶,M00059,豆瓣醬450g辣.哈哈牌,65.0,,SP-P00010-61,2026/1/30,S00003
PR00062,瓶,M00062,辣椒醬160oz.桂林.冠益,180.0,,SP-P00010-62,2026/1/30,S00003
PR00063,桶,M00045,芝麻香油3公升.銀星,230.0,,SP-P00010-63,2026/1/30,S00003
PR00064,罐,M00052,雞粉1kg.罐.康寶牌,280.0,,SP-P00010-64,2026/1/30,S00003
PR00065,桶,M00058,蠔油.熊貓80oz.李錦記,200.0,,SP-P00010-65,2026/1/30,S00003
PR00066,罐,M00040,綠竹筍絲3kg,215.0,,SP-P00011-66,2026/1/30,S00003
PR00067,包,M00041,白芝麻600g.生,75.0,,SP-P00011-67,2026/1/30,S00003
PR00068,盒,M00031,白胡椒粉.香辣#3.飛馬,105.0,,SP-P00011-68,2026/1/30,S00003
PR00069,包,M00043,黃豆粉.生.600g,55.0,,SP-P00011-69,2026/1/30,S00003
PR00070,台斤,M00005,大白皮,63.0,,SP-P00012-70,2026/1/27,S00008
PR00071,台斤,M00006,烏豆沙,75.0,,SP-P00012-71,2026/1/27,S00008
PR00072,台斤,M00007,米製品(糯米),50.0,,SP-P00012-72,2026/1/27,S00008
PR00073,台斤,M00008,四方黃皮,80.0,,SP-P00013-73,2026/1/24,S00008
PR00074,台斤,M00007,米製品(糯米),50.0,,SP-P00013-74,2026/1/24,S00008
PR00075,台斤,M00009,澄麵,45.0,,SP-P00013-75,2026/1/24,S00008
PR00076,台斤,M00005,大白皮,63.0,,SP-P00013-76,2026/1/24,S00008
PR00077,台斤,M00005,大白皮,63.0,,SP-P00014-77,2026/1/21,S00008
PR00078,台斤,M00010,特級小黃皮,68.0,,SP-P00014-78,2026/1/21,S00008
